Designator,Mid X,Mid Y,Rotation,Layer
F1,172.764,-112.86,0.0,top
H1,108.8,-40.0,0.0,top
H2,108.8,-130.0,0.0,top
H3,188.8,-130.0,0.0,top
H4,188.8,-40.0,0.0,top
L1,124.645,-110.96,0.0,top
M1,160.544,-51.124,0.0,top
M2,160.544,-60.302,0.0,top
M3,160.544,-69.48,0.0,top
M4,160.544,-78.658,0.0,top
M5,160.544,-87.836,0.0,top
M7,155.718,-97.014,0.0,top
R1,172.19,-117.5,0.0,top
S1,151.05,-107.39,0.0,top
U2,129.785,-79.475,0.0,top
U3,174.034,-95.744,0.0,top
U4,174.034,-101.112,0.0,top
U5,174.034,-106.48,0.0,top
U6,151.908,-116.25,0.0,top
